Compound index,SMILES,Max(Brain/Blood),Reach time
1327-18F9,Cc1cc(N)nc(CC(C)F)c1,0.6751054852320675,5min
1331-18F1,CCN(CC)CCNC(=O)c1cc(F)ccn1,1.6,120min
1331-18F2,CCN(CC)CCNC(=O)c1ccc(F)cn1,3.047619047619048,60min
1331-18F3,CCN(CC)CCNC(=O)c1ccc(F)nc1,3.391304347826087,60min
1334-18F2a,COC12CCC3(CC1C(C)(C)O)C1Cc4ccc(O)c5c4[C@@]3(CCN1CCCF)C2O5,0.39019189765458423,5min
1340-18F1,CCc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCF,0.5798816568047337,60min
1340-18F2,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCF)cc23)c1,1.948051948051948,120min
1340-18F3,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCF,0.2468354430379747,30min
1343-3b,COC12CC[C@@]3(CC1[C@@](C)(O)C(C)(C)C)C1Cc4ccc(O)c5c4C3(CCN1CCCF)[C@H]2O5,0.5277777777777778,5min
1343-4b,COC12CC[C@@]3(CC1C(C)(C)O)C1Cc4ccc(O)c5c4C3(CCN1CCCF)[C@H]2O5,0.9473684210526315,30min
1345-18F3c,COc1cc2c(cc1OC)CN(CCCCNC(=O)c1cc(C)ccc1OCCF)CC2,0.34285714285714286,120min
1345-18F3d,COc1cc2c(cc1OC)CN(CCCCNC(=O)c1cc(Br)ccc1OCCF)CC2,0.38461538461538464,120min
1345-18F3e,COc1cc2c(cc1OC)CN(CCCCNC(=O)c1cc(I)ccc1OCCF)CC2,0.19270833333333334,120min
1345-18F3f,COc1cc2c(cc1OC)CN(CCCCNC(=O)c1cc(I)cc(OC)c1OCCF)CC2,0.39010989010989006,5min
1356-18F1,O=C(Cc1cccc(Br)c1)NC1CCN(Cc2ccc(F)cc2)CC1,29.333333333333336,120min
1356-18F2,O=C(Cc1ccccc1F)NC1CCN(Cc2ccccc2)CC1,31.7,120min
1362B-1,CC(=O)OC[C@@H]1CCCCN1CCF,0.0,1min
1362B-2,CC(=O)OC1CCN(CCF)C1,1.6,1min
1362B-3,CC(=O)OC1CCN(CCF)CC1,1.5714285714285714,1min
1362B-4,CC(=O)OC1CCCN(CCF)C1,0.0,1min
1362B-PMP,CCC(=O)OC1CCN(C)CC1,1.2702702702702702,1min
1382A-FPT,NC(Cc1ccc(OCCCF)cc1)C(=O)[O-],0.6052631578947368,120min
1382C-FPT,NC(Cc1ccc(OCCCF)cc1)C(=O)O,0.5978835978835979,120min
1387-1b,CSC(=N)N,0.8421052631578947,180min
1387-3b,N=C(N)SCCF,0.2777777777777778,5min
1391-18F12,N[C@]1(C(=O)O)C[C@H](F)C1,0.9615384615384615,120min
1392-18F9e,O=C(c1ccc(F)cc1)C1CCN(C2Cc3ccccc3C[C@H]2O)CC1,4.967213114754099,5min
1398A-18FFE@SUPPY,CCSC(=O)c1c(CC)nc(-c2ccccc2)c(C(=O)OCCF)c1CC,5.526315789473684,120min
1400A-18F2,N#Cc1ccc(OCC2CCN(CCF)CC2)cc1,16.71428571428571,30min
1403A-18F-4-Fluoroglutamine,NC(=O)[C@H](F)C[C@H](N)C(=O)O,0.9375000000000001,240min
1403C-18FGLN,NC(=O)[C@H](F)C[C@H](N)C(=O)O,0.40625,60min
1403C-18FGLU,N[C@@H](C[C@@H](F)C(=O)O)C(=O)O,0.29411764705882354,60min
1405A-18F7,C#C[C@@]1(O)C2CCC3c4ccc(O)cc4CCC3C2C[C@H]1F,1.8390804597701151,60min
1405A-18F7a,C#C[C@]1(O)C2C[C@H](C)C3c4ccc(O)cc4CCC3C2C[C@H]1F,0.5405405405405406,60min
1405A-18F8,C#C[C@@]1(O)C2C[C@H](OC)C3c4ccc(O)cc4CCC3C2C[C@H]1F,1.277777777777778,60min
1407B-2-18F,NC(Cc1ccccc1CF)C(=O)O,0.8481012658227848,60min
1414A-18FDFPA,CCCCCC[C@H](F)[C@H](F)CCCCCCCC(=O)O,0.2727272727272727,60min
1419A-18F7,C#C[C@@]1(O)C2CCC3c4ccc(O)cc4CCC3C2C[C@H]1F,1.8390804597701151,60min
1419A-18F7a,C#C[C@]1(O)C2CCC3c4ccc(O)cc4CCC3C2C[C@H]1F,0.5405405405405406,60min
1419A-18F8,C#C[C@@]1(O)C2C[C@H](OC)C3c4ccc(O)cc4CCC3C2C[C@H]1F,1.277777777777778,60min
1419C-18F3,C#C[C@]1(O)[C@@H](F)CC2C3CCc4cc(O)ccc4C3[C@@H](OC)C[C@@]21C,1.168421052631579,60min
1423A-18FDAFBA,CCN(CC)CCNC(=O)c1ccc(F)cc1,2.769230769230769,30min
1423B-18FFBZA,CCN(CC)CCNC(=O)C1=C=C=C(F)C=C1,2.5416666666666665,120min
1426-18FFAMB,CC(N)(CCF)C(=O)O,0.5789473684210527,120min
1427A-8F-5a,CC(N)(F)C(=O)O,0.33333333333333337,120min
1427A-8F-5b,CC(N)(F)C(=O)O,0.3,120min
1431-2-18FFFA,Nc1nc2ncc(CNc3ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)c(F)c3)nc2c(=O)[nH]1,1.1388888888888888,75min
1441-18F-L-FEHTP,N[C@@H](Cc1c[nH]c2ccc(OCCF)cc12)C(=O)O,1.1199999999999999,70min
1442B-18F-FMT,Cc1ccc(O)cc1C[C@H](N)C(=O)O,1.0217391304347825,60min
1445A-18F5a,CNC(C)(CF)C(=O)O,0.33333333333333337,120min
1445A-18F5b,CC(N)(CF)C(=O)O,0.3,120min
1445B-R-18F5,CC(N)(F)C(=O)O,0.5625,120min
1445B-R-18F8,CNC(C)(F)C(=O)O,0.20833333333333334,60min
1445B-S-18F5,CNC(C)(F)C(=O)O,0.25,120min
1445B-S-18F8,CNC(C)(F)C(=O)O,0.2857142857142857,120min
1457-18F5,CN(C)Cc1ccccc1Sc1cc(F)c(Cl)cc1N,0.4984756097560976,2min
1466A-18F2,CN(C)c1ccc(/C=C/c2ccc(OCCOCCOCCF)nc2)cc1,2.5559210526315788,2min
1467A-18F2,COc1cc2c(cc1OCCCF)CCN1C[C@@H](CC(C)C)[C@H](O)C[C@]21C,2.9166666666666665,120min
1467A-18F4,COc1cc2c(cc1OCCCF)CCN1C[C@@H](CC(C)C)[C@]3(CO3)C[C@H]21,14.000000000000002,240min
1473-18FBF108,CCN(CC)c1ccc2cc3ccc(N(CC)CCF)cc3nc2c1,0.7015706806282723,120min
1475-18FBF-227,CN(C)c1ncc(/C=C/c2nc3ccc(OCCF)cc3o2)s1,2.0648464163822524,2min
1475-18FFACT,CN(C)c1ncc(/C=C/c2nc3ccc(OC(CO)CF)cc3o2)s1,1.2712328767123287,2min
1475-18FTHK-525,FCCOc1ccc2nc(/C=C/c3cnc(N4CCOCC4)s3)oc2c1,1.6773049645390072,2min
1475-18FTHK-702,OCC(CF)Oc1ccc2nc(/C=C/c3cnc(N4CCOCC4)s3)oc2c1,1.2425149700598803,2min
1475-18FTHK-727,OCC(CF)COc1ccc2nc(/C=C/c3cnc(N4CCOCC4)s3)oc2c1,1.380952380952381,2min
1476A-18FBMY14802,OC(*N1CCN(c2ncc(F)cn2)CC1)c1ccc(F)cc1,2.927536231884058,5min
1476B-18FBMY14802,O*(C1=C=CC(F)C=C1)N1CCN(C2=NCC(F)C=N2)CC1,367.3913043478261,30min
1477-4-Br18FPN,*CCCn1cc(Br)nc1[N+](=O)[O-],1.1756373937677054,5min
1491-18F-DDRT,CC(CF)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(C(=O)O)c(C(=O)O)cc4[C@@H]2C3)O1,5.285714285714286,5min
1491-18F-DHRT,CC(CF)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(C(=O)O)c(C(=O)O)cc4[C@@H]2C3O)O1,10.2,60min
1491-18FDDRT,COc1cc2c(cc1OC)[C@@H]1Cc3ccc4c(c3O[C@@H]1CO2)C[C@H](C(C)CF)O4,5.285714285714286,5min
1491-18FDHRT,COc1cc2c(cc1OC)[C@@H]1C(=O)c3ccc4c(c3O[C@@H]1CO2)CC(C(C)CF)O4,10.2,60min
1496E-18F-1,CCN(CC)C(=O)Cc1c(-c2ccc(OCCF)cc2)nn2c(C)cc(C)nc12,2.5,30min
1497A-11CDPN,CO[C@]12CCC3(CC1C(C)(C)O)C1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)C2O5,2.6395348837209305,60min
1497A-18F-DPN,CC(C)(O)C1CC23CC[C@@]1(OCCF)C1Oc4c(O)ccc5c4[C@@]12CCN(CC1CC1)C3C5,1.5236051502145922,30min
1499B-EF3,O=C(Cn1ccnc1[N+](=O)[O-])NCCC(F)(F)F,0.5167785234899329,110min
1500-18FEFA,CCOC(=O)CF,0.7485311398354877,90min
1500-18FFA,O=C([O-])CF,0.7,30min
1512B-18F-facbc,N[C@]1(C(=O)O)C[C@@H](F)C1,0.9000000000000001,60min
1512B-18F-FDG,OC[C@@H]1O[C@@H](O)[C@H](F)[C@H](O)[C@@H]1O,9.826086956521738,60min
1513C-18F-FAC,O=C(O)CF,1.6021505376344085,30min
